id,timing_type,time_of_day,food_bev_density,food_bev_pop_score,access_density,access_pop_score,lodging_density,lodging_pop_score,average_income_zip,population_zip,median_age_zip,event_type,target_audience,event_mood_energy,freebies_included,is_weekend,price
5cf79d60,Single-Day,Evening,0.0,0.0,0.0,0.0,2.0,4.8,136098.0,12044,50.2,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,Yes,0,81.88
f40a7710,Single-Day,Evening,3.0,4.74086687306502,14.0,2.0,40.0,4.50330771022595,140417.0,21266,36.3,Community,Adults / Professionals (25 to 45),Relaxed,No,0,86.4
f42e7ed5,Multi-Day,Night,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Music,Young Adults (18 to 30),High-Energy,No,1,54.84
d7d003f5,Single-Day,Night,80.0,4.42325916948028,42.0,3.44377182770664,40.0,3.50682680151707,62388.0,34077,39.6,Music,Young Adults (18 to 30),High-Energy,No,0,44.52
01d72a47,Multi-Day,Night,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,1,29.68
2ecc2593,Single-Day,Afternoon,42.0,4.4579444772593,28.0,3.82592592592593,40.0,4.6554143126177,132519.0,43304,42.6,Music,Young Adults (18 to 30),High-Energy,No,1,17.85
d04a6dc8,Single-Day,Afternoon,23.0,4.46897967161845,24.0,3.57142857142857,40.0,4.50958983246678,236445.0,3952,34.1,Food & Drink,unknown,Relaxed,Yes,1,44.52
26b7caf7,Multi-Day,Night,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,1,17.4
50322d3b,Single-Day,Evening,70.0,4.40787122462853,33.0,3.95941860465116,40.0,4.53354380426204,190444.0,39496,34.5,Sports & Fitness,Young Adults (18 to 30),High-Energy,No,1,12.58
81998be9,Single-Day,Evening,80.0,4.42325916948028,42.0,3.44377182770664,40.0,3.50682680151707,62388.0,34077,39.6,Music,unknown,unknown,No,1,49.03
3c5a451a,Single-Day,Afternoon,73.0,4.50910252555622,42.0,3.58974358974359,40.0,4.3214235705951,176788.0,30340,35.8,Food & Drink,Adults / Professionals (25 to 45),Relaxed,No,1,74.49
02d88d81,Multi-Day,Night,80.0,4.46040909391316,41.0,3.78579321231255,40.0,4.36441436751692,250001.0,13722,33.8,Music,Young Adults (18 to 30),High-Energy,No,0,12.51
e65d1b1f,Single-Day,Evening,73.0,4.50910252555622,42.0,3.58974358974359,40.0,4.3214235705951,176788.0,30340,35.8,Performing & Visual Arts,Adults / Professionals (25 to 45),High-Energy,No,1,39.19
6bd07c03,Single-Day,Evening,59.0,4.14002295223067,37.0,3.74481927710843,40.0,4.05813148788927,120731.0,80880,43.0,Community,Young Adults (18 to 30),Relaxed,No,0,22.94
4ce8f84a,Single-Day,Evening,70.0,4.40787122462853,33.0,3.95941860465116,40.0,4.53354380426204,190444.0,39496,34.5,Hobbies,Young Adults (18 to 30),High-Energy,No,0,12.58
f8c1a5c3,Single-Day,Evening,2.0,4.2,15.0,4.5,40.0,4.86363636363636,137583.0,4756,42.9,Business,Adults / Professionals (25 to 45),Educational,No,0,28.52
0eac26e6,Single-Day,Afternoon,73.0,4.50910252555622,42.0,3.58974358974359,40.0,4.3214235705951,176788.0,30340,35.8,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,No,1,71.21
0d864b85,Single-Day,Night,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,1,12.51
f0e92a6f,Single-Day,Evening,23.0,4.46897967161845,24.0,3.57142857142857,40.0,4.50958983246678,236445.0,3952,34.1,Sports & Fitness,Adults / Professionals (25 to 45),Relaxed,No,0,188.58
d6a03e37,Single-Day,Evening,80.0,4.54286979908242,41.0,3.7948275862069,40.0,3.98152436082972,108691.0,56333,37.4,Food & Drink,Adults / Professionals (25 to 45),Relaxed,No,1,64.8
4fcd0eee,Single-Day,Evening,71.0,4.22505839881079,41.0,3.01189189189189,40.0,4.0246251874063,211854.0,24721,33.7,Performing & Visual Arts,Teens / High School Students,Formal,No,0,35.14
f1991d34,Multi-Day,Night,80.0,4.46040909391316,41.0,3.78579321231255,40.0,4.36441436751692,250001.0,13722,33.8,Music,Young Adults (18 to 30),High-Energy,No,0,12.51
715b89b0,Single-Day,Evening,77.0,4.40359069767442,27.0,3.96315789473684,40.0,4.66465729530064,184671.0,33858,42.0,Health,Young Adults (18 to 30),Spiritual,No,0,12.51
1a04a851,Single-Day,Afternoon,80.0,4.41382927858248,39.0,3.65452322738386,40.0,4.48919619706137,152115.0,69679,39.0,Spirituality,Young Adults (18 to 30),Spiritual,Yes,1,54.0
5e7f40ce,Single-Day,Night,29.0,4.35144210960033,25.0,3.70625,40.0,4.33852019203615,196571.0,28705,40.8,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,Yes,0,130.96
