id,title,url,local_start,utc_start,local_end,utc_end,timing_type,duration,time_of_day,day_of_week,event_season,formatted_address,zip,lat,lon,neighborhood,food_bev_density,food_bev_pop_score,access_density,access_pop_score,lodging_density,lodging_pop_score,average_income_zip,population_zip,median_age_zip,event_type,target_audience,event_mood_energy,freebies_included,uniqueness,price
5cf79d60,Supper at Headlands | July 2025,https://www.eventbrite.com/e/supper-at-headlands-july-2025-tickets-1234331592019,2025-07-30 22:00:00,2025-07-30 22:00:00,2025-07-31 01:00:00,2025-07-31 01:00:00,Single-Day-Ranged,180.0,Evening,2,Summer,"944 Simmonds Rd, Sausalito, CA 94965, USA",94965,37.829678,-122.522424,,0.0,0.0,0.0,0.0,2.0,4.8,136098.0,12044,50.2,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,Yes,Yes,81.88
f40a7710,Wine About Housing,https://www.eventbrite.com/e/wine-about-housing-tickets-1215273719409,2025-09-10 22:30:00,2025-09-10 22:30:00,2025-09-11 01:00:00,2025-09-11 01:00:00,Single-Day-Ranged,150.0,Evening,2,,"299 North Highland Avenue Northeast, Atlanta, GA 30307, USA",30307,33.7622967,-84.3589897,Inman Park,3.0,4.74086687306502,14.0,2.0,40.0,4.50330771022595,140417.0,21266,36.3,Community,Adults / Professionals (25 to 45),Relaxed,No,Yes,86.4
f42e7ed5,BRÜT SF - DORE ALLEY  2025,https://www.eventbrite.com/e/brut-sf-dore-alley-2025-tickets-1255908097929,2025-07-27 02:00:00,2025-07-27 02:00:00,2025-07-27 05:00:00,2025-07-27 05:00:00,Multi-Day,180.0,Night,5,Summer,"119 Utah St, San Francisco, CA 94103, USA",94103,37.7674694,-122.4065056,Showplace Square,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Music,Young Adults (18 to 30),High-Energy,No,Yes,54.84
d7d003f5,ALPHA,https://www.eventbrite.com/e/alpha-tickets-1290422822399,2025-07-26 02:00:00,2025-07-26 02:00:00,,,Single-Day-Instant,,Night,4,Summer,"1 Jones St, San Francisco, CA 94102, USA",94102,37.7813171,-122.4122946,Tenderloin,80.0,4.42325916948028,42.0,3.44377182770664,40.0,3.50682680151707,62388.0,34077,39.6,Music,Young Adults (18 to 30),High-Energy,No,Yes,44.52
01d72a47,PRINCESS W/ JEWELS SPARKLES,https://www.eventbrite.com/e/princess-w-jewels-sparkles-tickets-1296375356589,2025-07-27 02:00:00,2025-07-27 02:00:00,2025-07-27 05:00:00,2025-07-27 05:00:00,Multi-Day,180.0,Night,5,Summer,"298 11th St, San Francisco, CA 94103, USA",94103,37.7718948,-122.4144155,SoMa,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,No,29.68
2ecc2593,FWG Summer Bonfire ft DJ Jerry Ross/DJ Oras,https://www.eventbrite.com/e/fwg-summer-bonfire-ft-dj-jerry-rossdj-oras-tickets-1332595843039,2025-07-19 18:00:00,2025-07-19 18:00:00,2025-07-20 01:30:00,2025-07-20 01:30:00,Single-Day-Ranged,450.0,Afternoon,5,Summer,"1000 Great Hwy, San Francisco, CA 94121, USA",94121,37.7694627,-122.5102108,Golden Gate Park,42.0,4.4579444772593,28.0,3.82592592592593,40.0,4.6554143126177,132519.0,43304,42.6,Music,Young Adults (18 to 30),High-Energy,No,Yes,17.85
d04a6dc8,Parks4All: Brewfest,https://www.eventbrite.com/e/parks4all-brewfest-tickets-1146260077749,2025-07-19 16:00:00,2025-07-19 16:00:00,2025-07-19 20:00:00,2025-07-19 20:00:00,Single-Day-Ranged,240.0,Afternoon,5,Summer,"Civil War Parade Ground, Graham St, San Francisco, CA 94129, USA",94129,37.8003382,-122.4568085,Main Post,23.0,4.46897967161845,24.0,3.57142857142857,40.0,4.50958983246678,236445.0,3952,34.1,Food & Drink,None,Relaxed,Yes,Yes,44.52
26b7caf7,Princess: EMO NIGHT w/ TENDERONI · King Takeover + MCR Afterparty!,https://www.eventbrite.com/e/princess-emo-night-w-tenderoni-king-takeover-mcr-afterparty-tickets-1345562867759,2025-07-20 01:30:00,2025-07-20 01:30:00,2025-07-20 05:00:00,2025-07-20 05:00:00,Multi-Day,210.0,Night,5,Summer,"298 11th St, San Francisco, CA 94103, USA",94103,37.7718948,-122.4144155,SoMa,80.0,4.15553292600136,45.0,3.97475622968581,40.0,3.29599501971363,111028.0,32400,36.8,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,Yes,17.4
50322d3b,"Skate Week SF - ""Boots on the Ground"" Texas Takeover Finale",https://www.eventbrite.com/e/skate-week-sf-boots-on-the-ground-texas-takeover-finale-tickets-1319637373909,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 03:00:00,2025-07-20 03:00:00,Single-Day-Ranged,180.0,Evening,5,Summer,"554 Fillmore St, San Francisco, CA 94117, USA",94117,37.7747073,-122.4306925,Lower Haight,70.0,4.40787122462853,33.0,3.95941860465116,40.0,4.53354380426204,190444.0,39496,34.5,Sports & Fitness,Young Adults (18 to 30),High-Energy,No,Yes,12.58
81998be9,Help is on the Way XXXI,https://www.eventbrite.com/e/help-is-on-the-way-xxxi-tickets-1339738356489,2025-07-20 23:30:00,2025-07-20 23:30:00,2025-07-21 03:30:00,2025-07-21 03:30:00,Single-Day-Ranged,240.0,Evening,6,Summer,"609 Sutter St, San Francisco, CA 94102, USA",94102,37.788678,-122.410458,Lower Nob Hill,80.0,4.42325916948028,42.0,3.44377182770664,40.0,3.50682680151707,62388.0,34077,39.6,Music,None,None,No,No,49.03
3c5a451a,Chocolate & Wine CRUISE on San Francisco Bay: Summer 2025 Off-White Edition,https://www.eventbrite.com/e/chocolate-wine-cruise-on-san-francisco-bay-summer-2025-off-white-edition-tickets-1353907627159,2025-07-19 17:00:00,2025-07-19 17:00:00,2025-07-19 19:30:00,2025-07-19 19:30:00,Single-Day-Ranged,150.0,Afternoon,5,Summer,"89 King St, San Francisco, CA 94107, USA",94107,37.7816903,-122.3866361,South Beach,73.0,4.50910252555622,42.0,3.58974358974359,40.0,4.3214235705951,176788.0,30340,35.8,Food & Drink,Adults / Professionals (25 to 45),Relaxed,No,Yes,74.49
02d88d81,DENIS HORVAT [ Innervisions & Afterlife ] at Madarae,https://www.eventbrite.com/e/denis-horvat-innervisions-afterlife-at-madarae-tickets-1344739715689,2025-07-26 01:00:00,2025-07-26 01:00:00,2025-07-26 05:00:00,2025-07-26 05:00:00,Multi-Day,240.0,Night,4,Summer,"46 Minna St, San Francisco, CA 94105, USA",94105,37.7885614,-122.3982078,SoMa,80.0,4.46040909391316,41.0,3.78579321231255,40.0,4.36441436751692,250001.0,13722,33.8,Music,Young Adults (18 to 30),High-Energy,No,Yes,12.51
e65d1b1f,Silicon Valley: The Musical,https://www.eventbrite.com/e/silicon-valley-the-musical-tickets-891223462367,2025-10-18 23:00:00,2025-10-18 23:00:00,2025-10-19 01:30:00,2025-10-19 01:30:00,Single-Day-Ranged,150.0,Evening,5,,"1695 18th St, San Francisco, CA 94107, USA",94107,37.7622332,-122.3990739,Potrero Hill,73.0,4.50910252555622,42.0,3.58974358974359,40.0,4.3214235705951,176788.0,30340,35.8,Performing & Visual Arts,Adults / Professionals (25 to 45),High-Energy,No,Yes,39.19
